Modelo;Motorización;Categoría;Nº de Plazas;MTMA;Potencia eléctrica (kW);Consumo eléctrico (kWh/100km);Capacidad de la batería (kWh);Autonomía eléctrica (km)
Mazda Mazda CX-60 PHEV CX-60 2.5L e-SKYACTIV PHEV 241 kW (327 CV) 8AT AWD RESTO DE VERSIONES;Híbridos enchufables;M1;5;2667;129;22.1;50;63
Mazda MX-30 Eléctrica;Eléctricos puros;M1;5;2119;107;17.9;100;200
Mazda MX-30 Híbrida R-EV;Híbridos enchufables;M1;5;2251;125;17.5;50;85
Melex MELEX N50 MELEX N 50;Eléctricos puros;N1;2;1850;8;13.3;10.24;87
Melex MELEX V.E. MELEX 445H 48V 5.0kW CA. 2+C. BASIC MATRICUL;Eléctricos puros;L7e;2;1000;5;27.5;8.6;57
Melex MELEX V.E. MELEX 463H 48V 5.0kW AC. 4+C. BASIC MATRIC.LITIO 7,5 KW;Eléctricos puros;L7e;4;955;5;27.5;8.6;57
Melex N. CAR V.E. MELEX 341 48V 5.0kW AC. PUERTAS. MATRICULABLE;Eléctricos puros;L7e;2;905;6;36.3;12.48;61
Melex N. CAR V.E. MELEX 381 48V 5.0kW AC. PUERTAS MATRICULABLE;Eléctricos puros;L7e;2;1375;6;36.3;8.6;61
Melex N. CAR V.E. MELEX 391.1 FL. 48V 5kW. AC PUERTAS.MATRICUL.;Eléctricos puros;L7e;2;1815;6;36.3;8.6;61
Melex N. CAR V.E. MELEX 391H 48V 5.0kW AC. PUERTAS. MATRICU;Eléctricos puros;L7e;2;1345;5;36.3;8.6;71
Melex N. CAR V.E.MELEX 391.1 48V 5kW MATR. GARBAGE;Eléctricos puros;L7e;2;1645;6;36.3;8.6;61
Melex N.CLASSIC V.E. MELEX 447H  48V 5.0kW AC. GOLF BASIC MATRIC;Eléctricos puros;L7e;2;830;5;27.5;8.6;57
Melex N.CLASSIC V.E. MELEX 463H 48V 5.0kW AC. 4+C. BASIC MATRIC.;Eléctricos puros;L7e;4;1090;5;27.5;8.6;57
Melex N.CLASSIC V.E. MELEX 465H 48V 5.0kW AC. 2+C. BASIC MATRIC.;Eléctricos puros;L7e;2;1390;5;25.7;8.6;57
Mercedes-Benz CLA Coupé (C118) 250 e;Híbridos enchufables;M1;5;2215;80;20.2;15.6;71
Mercedes-Benz CLA Shooting Brake (X118) 250 e;Híbridos enchufables;M1;5;2270;80;20.9;15.6;68
Mercedes-Benz Clase A Berlina (V177) 250 e;Híbridos enchufables;M1;5;2180;80;19.9;15.6;72
Mercedes-Benz Clase A Compacto (W177) 250 e;Híbridos enchufables;M1;5;2170;80;20.4;15.6;70
Mercedes-Benz Clase A Sedán (V177) 250 e;Híbridos enchufables;M1;5;2180;80;19.9;15.6;72
Mercedes-Benz Clase B (W247) 250 e;Híbridos enchufables;M1;5;2240;80;21.3;15.6;67
Mercedes-Benz Clase C Berlina (W206) 300 de;Híbridos enchufables;M1;5;2675;45;22.2;25.4;100
Mercedes-Benz Clase C Berlina (W206) 300 de 4MATIC;Híbridos enchufables;M1;5;2675;45;23;25.4;97
Mercedes-Benz Clase C Berlina (W206) 300 e;Híbridos enchufables;M1;5;2615;95;23.3;25.4;98
Mercedes-Benz Clase C Estate (S206) 300 de;Híbridos enchufables;M1;5;2675;45;20.9;25.4;96
Mercedes-Benz Clase C Estate (S206) 300 de 4MATIC;Híbridos enchufables;M1;5;2695;45;21.6;25.4;93
Mercedes-Benz Clase C Estate (S206) 300 e;Híbridos enchufables;M1;5;2655;95;24.1;25.4;95
Mercedes-Benz Clase E Berlina (S214) 300 e;Híbridos enchufables;M1;5;2805;95;207;25.4;97
Mercedes-Benz Clase E Berlina (W213) 300 de;Híbridos enchufables;M1;5;2720;90;21.6;13.5;44
Mercedes-Benz Clase E Berlina (W213) 300 de 4MATIC;Híbridos enchufables;M1;5;2760;90;21.8;13.5;43
Mercedes-Benz Clase E Berlina (W213) 300 e;Híbridos enchufables;M1;5;2650;90;20.6;13.5;45
Mercedes-Benz Clase E Berlina (W213) 300 e 4MATIC;Híbridos enchufables;M1;5;2725;90;21.3;13.5;45
Mercedes-Benz Clase E Estate (S213) 300 de;Híbridos enchufables;M1;5;2820;90;24.9;13.5;41
Mercedes-Benz Clase E Estate (S213) 300 de 4MATIC;Híbridos enchufables;M1;5;2850;90;24.8;13.5;45
Mercedes-Benz Clase E Estate (S213) 300 e;Híbridos enchufables;M1;5;2755;90;20.6;13.5;47
Mercedes-Benz Clase E Estate (S214) 300 e;Híbridos enchufables;M1;5;2849;95;214;25.4;95
Mercedes-Benz Clase S Berlina Corta (W223) 580 e;Híbridos enchufables;M1;5;3035;110;25.7;28.6;99
Mercedes-Benz Clase S Berlina Larga (V223) 580 e;Híbridos enchufables;M1;5;3070;110;26;28.6;97
Mercedes-Benz Clase S Berlina Larga (V223) 580 E Maybach;Híbridos enchufables;M1;5;3070;110;27.1;28.6;94
Mercedes-Benz Clase S Berlina Larga (V223) S 63 E PERFORMANCE;Híbridos enchufables;M1;5;3145;140;33.2;13;33
Mercedes-Benz eCitan eCitan Furgón PRO Extralargo;Eléctricos puros;N1;3;2490;90;18.9;45;283
Mercedes-Benz eCitan eCitan Furgón PRO Largo;Eléctricos puros;N1;3;2230;90;19;45;283
Mercedes-Benz eCitan eCitan Tourer PRO Largo;Eléctricos puros;M1;5;2390;90;19.2;45;280
Mercedes-Benz EQA (H243) 250;Eléctricos puros;M1;5;2470;140;16.9;66.5;457
Mercedes-Benz EQA (H243) 250+;Eléctricos puros;M1;5;2470;140;16.7;70.5;490
Mercedes-Benz EQA (H243) 300 4MATIC;Eléctricos puros;M1;5;2535;168;18.7;66.5;411
Mercedes-Benz EQA (H243) 350 4MATIC;Eléctricos puros;M1;5;2535;215;18.7;66.5;411
Mercedes-Benz EQB (X243) 250;Eléctricos puros;M1;5;2520;140;18.3;66.5;422
Mercedes-Benz EQB (X243) 250+;Eléctricos puros;M1;5;2520;140;18.1;70.5;452
Mercedes-Benz EQB (X243) 300 4MATIC;Eléctricos puros;M1;5;2580;168;19.7;66.5;387
Mercedes-Benz EQB (X243) 350 4MATIC;Eléctricos puros;M1;5;2580;215;19.7;66.5;387
Mercedes-Benz EQC (N293) 400 4MATIC;Eléctricos puros;M1;5;2940;300;25;80;373
Mercedes-Benz EQE (V295) 300;Eléctricos puros;M1;5;2895;180;19.5;89;532
Mercedes-Benz EQE (V295) 350;Eléctricos puros;M1;5;2895;215;19.5;89;532
Mercedes-Benz EQE (V295) 43;Eléctricos puros;M1;5;3095;350;23.7;90.5;438
Mercedes-Benz EQE (V295) 53;Eléctricos puros;M1;5;3095;460;22.9;90.5;442
Mercedes-Benz EQE SUV (X294) 350 4MATIC;Eléctricos puros;M1;5;3095;215;22.6;89;458
Mercedes-Benz EQE SUV (X294) 350+;Eléctricos puros;M1;5;2975;215;21.8;90.5;482
Mercedes-Benz EQE SUV (X294) 43 MATIC;Eléctricos puros;M1;5;3195;350;25.6;90.5;423
Mercedes-Benz EQE SUV (X294) 500 4MATIC;Eléctricos puros;M1;5;3095;300;22.6;90.5;462
Mercedes-Benz EQE SUV (X294) 53 MATIC+;Eléctricos puros;M1;5;3195;460;25.5;90.5;408
Mercedes-Benz EQS (V297) 450+;Eléctricos puros;M1;5;2945;265;19.9;108;627
Mercedes-Benz EQS (V297) 53 4MATIC+;Eléctricos puros;M1;5;3225;484;24;108;505
Mercedes-Benz EQS (V297) 580 4MATIC;Eléctricos puros;M1;5;3060;400;21.2;108;589
Mercedes-Benz EQS SUV (X296) 450 4MATIC;Eléctricos puros;M1;5;3375;265;24.2;108;513
Mercedes-Benz EQS SUV (X296) 580 4MATIC;Eléctricos puros;M1;5;3375;400;24.2;108;513
Mercedes-Benz EQT EQT;Eléctricos puros;M1;5;2390;90;19.4;45;278
Mercedes-Benz EQV EQV 250 Extralargo e66;Eléctricos puros;M1;8;3500;150;28.3;66;230
Mercedes-Benz EQV EQV 250 Largo e66;Eléctricos puros;M1;8;3500;150;28.1;66;231
Mercedes-Benz EQV EQV 300 Extralarga;Eléctricos puros;M1;8;3500;70;28.3;100;353
Mercedes-Benz EQV EQV 300 Larga;Eléctricos puros;M1;8;3500;70;28.2;100;355
Mercedes-Benz eSprinter eSprinter 312 Furgón Medio T.E.;Eléctricos puros;N1;3;3500;85;35.2;55;156
Mercedes-Benz eVITO eVito 126 Tourer Pro Extralarga e66;Eléctricos puros;M1;8;3500;150;27.8;60;233
Mercedes-Benz eVITO eVito 126 Tourer Pro Larga e66;Eléctricos puros;M1;8;3500;150;27.7;60;234
Mercedes-Benz eVITO eVito 129 Tourer Pro Extralarga 3500;Eléctricos puros;M1;9;3500;70;27.8;100;360
Mercedes-Benz eVITO eVito 129 Tourer Pro Larga 3500;Eléctricos puros;M1;9;3500;70;27.7;100;361
Mercedes-Benz eVITO eVito Furgón 112 Extralarga 2800;Eléctricos puros;N1;3;2800;85;22;60;306
Mercedes-Benz eVITO eVito Furgón 112 Extralarga 3200;Eléctricos puros;N1;3;3200;85;22;60;306
Mercedes-Benz eVITO eVito Furgón 112 Larga 2800;Eléctricos puros;N1;3;2800;85;21.8;60;308
Mercedes-Benz eVITO eVito Furgón 112 Larga 3200;Eléctricos puros;N1;3;3200;85;21.8;60;308
Mercedes-Benz GLA (H247) 250 e;Híbridos enchufables;M1;5;2300;80;23.7;15.6;63
Mercedes-Benz GLC Coupé (C253) 300 de 4MATIC;Híbridos enchufables;M1;5;2660;90;26.8;13.5;41
Mercedes-Benz GLC Coupé (C253) 300 e 4MATIC;Híbridos enchufables;M1;5;2610;90;26.6;13.5;41
Mercedes-Benz GLC Coupé (C254) 300 de 4MATIC;Híbridos enchufables;M1;5;2875;100;22.7;31.2;113
Mercedes-Benz GLC Coupé (C254) 300 e 4MATIC;Híbridos enchufables;M1;5;2830;100;22.4;31.2;119
Mercedes-Benz GLC SUV (X253) 300 de 4MATIC;Híbridos enchufables;M1;5;2650;90;29;13.5;40
Mercedes-Benz GLC SUV (X253) 300 e 4MATIC;Híbridos enchufables;M1;5;2615;90;29.2;13.5;41
Mercedes-Benz GLC SUV (X254) 300 de 4MATIC;Híbridos enchufables;M1;5;2885;100;23;31.2;112
Mercedes-Benz GLC SUV (X254) 300 e 4MATIC;Híbridos enchufables;M1;5;2840;100;22.5;31.2;119
Mercedes-Benz GLE Coupé (C167) 350 de 4MATIC;Híbridos enchufables;M1;5;3230;100;29.5;31.2;94
Mercedes-Benz GLE Coupé (C167) 350 e 4MATIC;Híbridos enchufables;M1;5;3190;100;32.1;31.2;84
Mercedes-Benz GLE Coupé (C167) 400 e 4MATIC;Híbridos enchufables;M1;5;3180;100;28.8;31.2;98
Mercedes-Benz GLE SUV (V167) 350 de 4MATIC;Híbridos enchufables;M1;5;3280;100;31.3;31.2;95
Mercedes-Benz GLE SUV (V167) 350 e 4MATIC;Híbridos enchufables;M1;5;3210;100;32.1;31.2;84
Mercedes-Benz GLE SUV (V167) 400 e 4MATIC;Híbridos enchufables;M1;5;3230;100;30.6;31.2;101
MG EHS Plug-in Hybrid 1.5T GDI 285 CV (209 kW);Híbridos enchufables;M1;5;2196;90;24;16.6;52
MG MG Marvel R 132 Kw (2WD);Eléctricos puros;M1;5;2288;132;19.41;72;402
MG MG Marvel R 212 Kw (4WD);Eléctricos puros;M1;5;2373;212;20.9;72;370
MG MG ZS EV MG ZS EV (105 kW) MY2019;Eléctricos puros;M1;5;1966;105;17.9;44.5;267
MG MG ZS EV MG ZS EV (105 kW) MY2020;Eléctricos puros;M1;5;1966;105;17.9;44.5;267
MG MG ZS EV MG ZS EV (115 kW);Eléctricos puros;M1;5;2070;115;17.8;72;440
MG MG ZS EV MG ZS EV (130 kW);Eléctricos puros;M1;5;2060;130;17.3;51;320
MG MG4 Electric 170 CV (125 kW) AF5LKEAA;Eléctricos puros;M1;5;2083;125;16.7;51;351
MG MG4 Electric 170 CV (125 kW) STD: AF5LKEA;Eléctricos puros;M1;5;2103;125;16.7;51;351
MG MG4 Electric 203 CV (150 kW) COM: BF5LKEB;Eléctricos puros;M1;5;2133;150;15.7;64;453
MG MG4 Electric 203 CV (150 kW) LUX: BF5LKEE;Eléctricos puros;M1;5;2133;150;16.5;64;436
MG MG4 Electric 204 CV (150 kW) BF5LKE??;Eléctricos puros;M1;5;2113;150;15.7;64;464
MG MG4 Electric 245 CV (180 kW) CF5LKE?E;Eléctricos puros;M1;5;2209;180;16;77;523
MG MG4 Electric 435 CV (320 kW) DF5LKE?D;Eléctricos puros;M1;5;2261;320;18;66;397
MG MG5 Electric 115 kW (01-LSJ-I);Eléctricos puros;M1;5;2017;115;15.8;61.1;402
MG MG5 Electric 115 kW (03-LSJ-I);Eléctricos puros;M1;5;2017;115;16.7;61.1;380
MG MG5 Electric 115 kW (05-LSJ-I);Eléctricos puros;M1;5;2017;115;17;61.1;402
MG MG5 Electric 115 kW (07-LSJ-I);Eléctricos puros;M1;5;2017;115;17.6;61.1;390
MG MG5 Electric 130 kW (02-LSJ-I);Eléctricos puros;M1;5;2017;130;16.8;50.3;324
MG MG5 Electric 130 kW (04-LSJ-I);Eléctricos puros;M1;5;2017;130;17.2;50.3;318
MG MG5 Electric 130 kW (06-LSJ-I);Eléctricos puros;M1;5;2017;130;17.4;50.3;321
MG MG5 Electric 130 kW (08-LSJ-I);Eléctricos puros;M1;5;2017;130;17.9;50.3;310
MICRO MICROLINO COMPETIZIONE;Eléctricos puros;L7e;2;750;12.5;13.9;10.5;177
MICRO MICROLINO DOLCE;Eléctricos puros;L7e;2;750;12.5;13.9;10.5;177
MICRO MICROLINO PIONEER;Eléctricos puros;L7e;2;750;12.5;13.9;10.5;177
MINI 3 puertas COOPER SE;Eléctricos puros;M1;4;1775;135;15.3;32.6;233
MINI CABRIO COOPER SE;Eléctricos puros;M1;4;1770;135;17.2;32.6;201
MINI COOPER ELÉCTRICO E;Eléctricos puros;M1;4;1990;135;13.8;40.7;305
MINI COOPER ELÉCTRICO SE;Eléctricos puros;M1;4;2055;160;14.1;54.2;402
MINI COUNTRYMAN COOPER SE ALL4;Híbridos enchufables;M1;5;2270;92;15.3;10;52
Mitsubishi ASX 160 PHEV Kaiteki;Híbridos enchufables;M1;5;2060;74;13.2;11;49
Mitsubishi ASX 160 PHEV Kaiteki+;Híbridos enchufables;M1;5;2060;74;13.2;11;49
Mitsubishi ECLIPSE CROSS ECLIPSE CROSS PHEV KAITEKI 4WD;Híbridos enchufables;M1;5;2425;130;19.3;14;45
Mitsubishi ECLIPSE CROSS ECLIPSE CROSS PHEV KAITEKI+ 4WD;Híbridos enchufables;M1;5;2425;130;19.3;14;45
Mitsubishi ECLIPSE CROSS ECLIPSE CROSS PHEV Motion 4WD;Híbridos enchufables;M1;5;2425;130;19.3;14;45
Mitsubishi Outlander PHEV;Híbridos enchufables;M1;5;3970;130;14.79;38;45
NERVA EXE 0;Eléctricos puros;L3e;2;362;9;7.1;5.8;105
NEXT Mojito ;Eléctricos puros;L3e;2;261;4.6;3.1;2.9;114
NEXTELECTRICMOTORS NXPLUS 0;Eléctricos puros;L3e;2;253;4;2.8;3.6;146
NEXTELECTRICMOTORS OVEGA 0;Eléctricos puros;L3e;2;348;10;8.7;8.6;125
NEXTEM ORCA 1;Eléctricos puros;N1;2;2245;15.1;18.1;30;174
NEXTEM ORCA Caja Alta;Eléctricos puros;N1;2;2245;15.1;18.1;30;200
NEXTEM ORCA Chasis;Eléctricos puros;N1;2;2245;15.1;18.1;30;200
NEXTEM ORCA Pick up;Eléctricos puros;N1;2;2245;15.1;18.1;30;200
NEXTEM ORCA Van;Eléctricos puros;N1;2;2245;15.1;18.1;30;200
Nissan ARIYA 63kWh 160kW (217CV) 4x2 ADVANCE;Eléctricos puros;M1;5;2333;160;17.7;63;403
Nissan ARIYA 63kWh 160kW (217CV) 4x2 ADVANCE  Cargador 22kW;Eléctricos puros;M1;5;2333;160;17.7;63;403
Nissan ARIYA 63kWh 160kW (217CV) 4x2 ADVANCE  Cargador 22kW + Techo Solar;Eléctricos puros;M1;5;2333;160;17.8;63;403
Nissan ARIYA 63kWh 160kW (217CV) 4x2 ENGAGE;Eléctricos puros;M1;5;2333;160;17.6;63;404
Nissan ARIYA 63kWh 160kW (217CV) 4x2 ENGAGE P. Tech;Eléctricos puros;M1;5;2333;160;17.6;63;404
Nissan ARIYA 63kWh 160kW (217CV) 4x2 EVOLVE;Eléctricos puros;M1;5;2333;160;17.9;63;397
Nissan ARIYA 63kWh 160kW (217CV) 4x2 EVOLVE  Cargador 22kW;Eléctricos puros;M1;5;2333;160;17.9;63;397
Nissan ARIYA 87kWh 178kW (242CV) 4x2 ADVANCE;Eléctricos puros;M1;5;2460;178;18.3;87;533
Nissan ARIYA 87kWh 178kW (242CV) 4x2 ADVANCE  Cargador 22kW;Eléctricos puros;M1;5;2460;178;18.3;87;533
Nissan ARIYA 87kWh 178kW (242CV) 4x2 ADVANCE  Cargador 22kW + Techo Solar;Eléctricos puros;M1;5;2460;178;18.4;87;533
Nissan ARIYA 87kWh 178kW (242CV) 4x2 ENGAGE;Eléctricos puros;M1;5;2460;178;18;87;536
Nissan ARIYA 87kWh 178kW (242CV) 4x2 ENGAGE P. Tech;Eléctricos puros;M1;5;2460;178;18.1;87;536
Nissan ARIYA 87kWh 178kW (242CV) 4x2 EVOLVE;Eléctricos puros;M1;5;2460;178;18.4;87;525
Nissan ARIYA 87kWh 178kW (242CV) 4x2 EVOLVE  Cargador 22kW;Eléctricos puros;M1;5;2460;178;18.4;87;525
Nissan ARIYA 87kWh 178kW (242CV) 4x2 EVOLVE P. Sport;Eléctricos puros;M1;5;2460;178;18.6;87;525
Nissan ARIYA 87kWh 225kW (306CV) e-4ORCE ADVANCE;Eléctricos puros;M1;5;2590;225;19.9;87;509
Nissan ARIYA 87kWh 225kW (306CV) e-4ORCE ADVANCE Cargador 22kW;Eléctricos puros;M1;5;2590;225;19.9;87;509
Nissan ARIYA 87kWh 225kW (306CV) e-4ORCE ADVANCE Cargador 22kWh Techo Solar;Eléctricos puros;M1;5;2590;225;20.3;87;509
Nissan ARIYA 87kWh 225kW (306CV) e-4ORCE EVOLVE;Eléctricos puros;M1;5;2590;225;19.9;87;509
Nissan ARIYA 87kWh 225kW (306CV) e-4ORCE EVOLVE Cargador 22kW;Eléctricos puros;M1;5;2590;225;19.9;87;509
Nissan ARIYA 87kWh 225kW (306CV) e-4ORCE EVOLVE Cargador 22kW Pack Sport;Eléctricos puros;M1;5;2590;225;20.3;87;509
Nissan ARIYA 87kWh 290kW (394CV) Perf. e-4ORCE EVOLVE+;Eléctricos puros;M1;5;2590;290;20.4;87;498
Nissan ARIYA 87kWh 290kW (394CV) Perf. e-4ORCE EVOLVE+ Cargador 22kW;Eléctricos puros;M1;5;2590;290;20.4;87;498
Nissan ARIYA ADVANCE + Cargador 22kW + Techo Solar B. 63kWh 160kW (218CV) 4x2;Eléctricos puros;M1;5;1914;160;17.6;63;403
Nissan ARIYA ADVANCE + Cargador 22kW B. 63kWh 160kW (218CV) 4x2;Eléctricos puros;M1;5;1914;160;17.6;63;403
Nissan ARIYA ADVANCE + Techo Solar B. 63kWh 160kW (218CV) 4x2;Eléctricos puros;M1;5;1914;160;17.6;63;403
Nissan ARIYA ADVANCE B. 63kWh 160kW (218CV) 4x2;Eléctricos puros;M1;5;1914;160;17.6;63;403
Nissan ARIYA EVOLVE + Cargador 22kW + Llantas aleación 20 + Piel Nappa B. 63kWh 160kW (218CV) 4x2;Eléctricos puros;M1;5;1948;160;17.8;63;398
Nissan ARIYA EVOLVE + Cargador 22kW + Llantas aleación 20 + Piel Nappa B. 87kWh 178kW (242CV) 4x2;Eléctricos puros;M1;5;2089;178;18.5;87;520
Nissan ARIYA EVOLVE + Cargador 22kW + Llantas aleación 20 + Piel Nappa B. 87kWh 225kW (306CV) 4x4 e-4ORCE;Eléctricos puros;M1;5;2218;225;19.5;87;493
Nissan ARIYA EVOLVE + Cargador 22kW B. 63kWh 160kW (218CV) 4x2;Eléctricos puros;M1;5;1948;160;17.8;63;398
Nissan ARIYA EVOLVE + Cargador 22kW B. 87kWh 178kW (242CV) 4x2;Eléctricos puros;M1;5;2089;178;18.5;87;520
Nissan ARIYA EVOLVE + Cargador 22kW B. 87kWh 225kW (306CV) 4x4 e-4ORCE;Eléctricos puros;M1;5;2218;225;19.5;87;493
Nissan ARIYA EVOLVE + Llantas aleación 20 + Piel Nappa B. 63kWh 160kW (218CV) 4x2;Eléctricos puros;M1;5;1948;160;17.8;63;398
Nissan ARIYA EVOLVE + Llantas aleación 20 + Piel Nappa B. 87kWh 178kW (242CV) 4x2;Eléctricos puros;M1;5;2089;178;18.5;87;520
Nissan ARIYA EVOLVE + Llantas aleación 20 + Piel Nappa B. 87kWh 225kW (306CV) 4x4 e-4ORCE;Eléctricos puros;M1;5;2218;225;19.5;87;493
Nissan ARIYA EVOLVE B. 63kWh 160kW (218CV) 4x2;Eléctricos puros;M1;5;1948;160;17.8;63;398
Nissan ARIYA EVOLVE B. 87kWh 178kW (242CV) 4x2;Eléctricos puros;M1;5;2089;178;18.5;87;520
Nissan ARIYA EVOLVE B. 87kWh 225kW (306CV) 4x4 e-4ORCE;Eléctricos puros;M1;5;2218;225;19.5;87;493
Nissan eNV200 Combi 5p 40 kWh;Eléctricos puros;M1;5;2250;80;25.9;40;200
Nissan eNV200 Evalia 5 40 kWh;Eléctricos puros;M1;5;2250;80;25.9;40;200
Nissan eNV200 Evalia 7 40 kWh;Eléctricos puros;M1;7;2250;80;25.9;40;200
Nissan eNV200 Furgón 4p 40 kWh;Eléctricos puros;N1;2;2240;80;25.9;40;200
Nissan eNV200 Furgón 5p 40 kWh;Eléctricos puros;N1;2;2220;80;25.9;40;200
Nissan eNV200 Furgón 5p 40 kWh PREMIUM Mam;Eléctricos puros;N1;2;2220;80;25.9;40;200
Nissan LEAF 40kWh 2.ZERO;Eléctricos puros;M1;5;1995;110;20.6;40;270
Nissan LEAF 40kWh Access;Eléctricos puros;M1;5;1995;110;20.6;40;270
Nissan LEAF 40kWh Acenta;Eléctricos puros;M1;5;1995;110;20.6;40;270
Nissan LEAF 40kWh Comercial;Eléctricos puros;N1;2;1995;110;20.6;40;270
Nissan LEAF 40kWh N-Connecta;Eléctricos puros;M1;5;1995;110;20.6;40;270
Nissan LEAF 40kWh Tekna;Eléctricos puros;M1;5;1995;110;20.6;40;270
Nissan LEAF 40kWh Visia;Eléctricos puros;M1;5;1995;110;20.6;40;285
Nissan LEAF 62kWh e+ Acenta;Eléctricos puros;M1;5;2140;160;18.5;62;385
Nissan LEAF 62kWh e+ N-Connecta;Eléctricos puros;M1;5;2140;160;18.5;62;385
Nissan LEAF 62kWh e+ Tekna;Eléctricos puros;M1;5;2140;160;18.5;62;385
Nissan TOWNSTAR Furgón 2P 45kWh - 90kw (120cv) L1 COMFORT;Eléctricos puros;N1;2;2220;90;28.01;45;188
Nissan TOWNSTAR Furgón 2P 45kWh - 90kw (120cv) L1 PREMIUM;Eléctricos puros;N1;2;2220;90;28.01;45;188
Nissan TOWNSTAR Furgón 2P 45kWh - 90kw (120cv) L1 PROFESIONAL;Eléctricos puros;N1;2;2220;90;28.01;45;188
Nissan TOWNSTAR Furgón 2P 45kWh - 90kw (120cv) L1 PROFESIONAL BASIC;Eléctricos puros;N1;2;2220;90;28.01;45;188
Nissan TOWNSTAR Furgón 2P 45kWh - 90kw (122cv) L2 COMFORT - Carga 22Kw + 80kW DC;Eléctricos puros;N1;2;2490;90;23;45;217
Nissan TOWNSTAR Furgón 2P 45kWh - 90kw (122cv) L2 COMFORT - P. Mampara 22kW + 80kW DC;Eléctricos puros;N1;2;2490;90;23;45;217
Nissan TOWNSTAR Furgón 2P 45kWh - 90kw (122cv) L2 PROFESIONAL;Eléctricos puros;N1;2;2490;90;23;45;217
Nissan TOWNSTAR Furgón 2P 45kWh - 90kw (122cv) L2 PROFESIONAL - Puerta izquierda;Eléctricos puros;N1;2;2490;90;23;45;217
Nissan TOWNSTAR Furgón 3P 45kWh - 90kw (120cv) L1 COMFORT;Eléctricos puros;N1;3;2230;90;28.01;45;188
Nissan TOWNSTAR Furgón 3P 45kWh - 90kw (120cv) L1 PROFESIONAL;Eléctricos puros;N1;3;2230;90;28.01;45;188
Nissan TOWNSTAR Furgón 3P 45kWh - 90kw (122cv) L2 COMFORT - Carga 22Kw + 80kW DC;Eléctricos puros;N1;3;2490;90;23;45;217
Nissan TOWNSTAR Furgón 3P 45kWh - 90kw (122cv) L2 PROFESIONAL;Eléctricos puros;N1;3;2490;90;23;45;217
Nissan TOWNSTAR Furgón 3P 45kWh - 90kw (122cv) L2 PROFESIONAL - Puerta izquierda;Eléctricos puros;N1;3;2490;90;23;45;217
NIU MQi GT Estándar;Eléctricos puros;L3e;2;269;3;33;3;74
NIU MQi GT Extendida;Eléctricos puros;L3e;2;269;3;34;4;96
NIU MQiGT EVO ESTÁNDAR;Eléctricos puros;L3e;2;275;5;3.74;3.7;75
NIU NGT PRO ;Eléctricos puros;L3e;2;269;3.5;35;4.2;134
NIU NQi GT PRO CARGO ;Eléctricos puros;L3e;1;269;3.5;39;4.2;120
NIU NQi GT SPORT CARGO ;Eléctricos puros;L3e;1;269;3.5;48;3.2;85
NIU NQi GTS ESTÁNDAR;Eléctricos puros;L3e;2;269;3;3.12;3.1;70
NIU NQi GTS PRO ;Eléctricos puros;L3e;2;269;3.1;39;4.2;108
NIU NQi GTS SPORT ;Eléctricos puros;L3e;2;269;3.1;33;3.2;85
NUUK CITYK P +;Eléctricos puros;L3e;1;320;4;3.8;5.4;116
NUUK CITYK U +;Eléctricos puros;L3e;2;320;4;3.8;5.4;116
NUUK ZICLYK P +;Eléctricos puros;L3e;1;280;3.5;3.5;2.7;70
NUUK ZICLYK U +;Eléctricos puros;L3e;2;280;3.5;3.5;2.7;70
NWOW JS2A v1;Eléctricos puros;L3e;2;178;4;3.5;2.8;75
NWOW NWOW-01A v0;Eléctricos puros;L3e;2;197;4;3.5;10.8;163
NWOW NWOW-02A v0;Eléctricos puros;L3e;2;200;8;8.5;8.6;120
NWOW NWOW-02A v01;Eléctricos puros;L3e;2;200;6.8;6.1;6.55;174
Opel Astra 5P (MY22.0) Edition 1.6T Hybrid AT8 S/S 180 HP (132kW);Híbridos enchufables;M1;5;2150;80;14.2;12.4;60
Opel Astra 5P (MY22.0) Elegance 1.6T Hybrid AT8 S/S 180 HP (132kW);Híbridos enchufables;M1;5;2150;80;14.2;12.4;60
Opel Astra 5P (MY22.0) GS-Line 1.6T Hybrid AT8 S/S 180 HP (132kW);Híbridos enchufables;M1;5;2150;80;14.2;12.4;60
Opel Astra 5P (MY22.0) Ultimate 1.6T Hybrid AT8 S/S 180 HP (132kW);Híbridos enchufables;M1;5;2150;80;14.2;12.4;60
Opel Astra 5P (MY23.0) Edition 1.6T Hybrid AT8 S/S 180 HP (132kW);Híbridos enchufables;M1;5;2150;80;14;12.4;66
Opel Astra 5P (MY23.0) Elegance 1.6T Hybrid AT8 S/S 180 HP (132kW);Híbridos enchufables;M1;5;2150;80;14;12.4;66
Opel Astra 5P (MY23.0) GS 1.6T Hybrid AT8 S/S 180 HP (132kW);Híbridos enchufables;M1;5;2150;80;14;12.4;66
Opel Astra 5P (MY23.0) GSe 1.6T Hybrid AT8 S/S 225 HP (165kW);Híbridos enchufables;M1;5;2150;80;15;12.4;64
Opel Astra 5P Electric (MY24.0) Edition Electric 54kWh 156 CV (115kW);Eléctricos puros;M1;5;2100;115;14.8;54;419
Opel Astra 5P Electric (MY24.0) GS Electric 54kWh 156 CV (115kW);Eléctricos puros;M1;5;2100;115;14.8;54;419
Opel Astra ST Electric (MY24.0) Edition Electric 54kWh 156 CV (115kW);Eléctricos puros;M1;5;2175;115;15;54;413
